region_id	chr	start_grch37	end_grch37	start_grch38	end_grch38	span_bp_grch38	span_mb_grch38	region_class	radius_bp	path_a_class	est_cluster_hours_per_ancestry	liftover_status
m2_region_00036	11	108926440	135601012	109055713	135076118	26020405	26.02	large	26520405	A.3	8.0	multi-segment
m2_region_00037	12	0	7885229	45738	7732633	7686895	7.687	medium	8186895	A.2	1.5	multi-segment
m2_region_00038	12	9043518	30534209	8890922	30381276	21490354	21.49	medium	21990354	A.2	1.5	primary
m2_region_00039	12	30908357	35756688	30755423	34703753	3948330	3.948	small	4448330	A.1	0.5	multi-segment
m2_region_00040	12	37729542	126774248	37463740	126289702	88825962	88.826	xlarge	50000000	A.3	24.0	multi-segment
m2_region_00041	12	126851840	128851840	126367294	128367295	2000001	2.0	small	2500001	A.1	0.5	primary
m2_region_00042	12	129075188	134458175	128590643	133264589	4673946	4.674	small	5173946	A.1	0.5	multi-segment
m2_region_00043	13	18842852	44340605	18446711	43766469	25319758	25.32	large	25819758	A.3	8.0	multi-segment
m2_region_00044	13	44495991	48212722	43921855	47638587	3716732	3.717	small	4216732	A.1	0.5	primary
m2_region_00045	13	48493085	70652578	47918950	70078446	22159496	22.159	medium	22659496	A.2	1.5	primary
m2_region_00046	13	71348768	93019926	70774636	92367673	21593037	21.593	medium	22093037	A.2	1.5	primary
m2_region_00047	13	93062095	100216302	92409842	99564048	7154206	7.154	medium	7654206	A.2	1.5	primary
m2_region_00048	13	100561428	116103150	99909174	114343675	14434501	14.435	medium	14934501	A.2	1.5	multi-segment
m2_region_00049	14	19983335	26928179	19397402	26458973	7061571	7.062	medium	7561571	A.2	1.5	primary
m2_region_00050	14	27092797	42573132	26623591	42103929	15480338	15.48	medium	15980338	A.2	1.5	primary
m2_region_00051	14	43447955	45641685	42978752	45172482	2193730	2.194	small	2693730	A.1	0.5	primary
m2_region_00052	14	46367616	49473706	45898413	49004503	3106090	3.106	small	3606090	A.1	0.5	primary
m2_region_00053	14	49655357	56257590	49188639	55790872	6602233	6.602	medium	7102233	A.2	1.5	primary
m2_region_00054	14	57015648	66932597	56548930	66465879	9916949	9.917	medium	10416949	A.2	1.5	primary
m2_region_00055	14	67025448	84454485	66558730	83988141	17429411	17.429	medium	17929411	A.2	1.5	primary
m2_region_00056	14	84984525	108257541	84518181	106880334	22362153	22.362	medium	22862153	A.2	1.5	multi-segment
m2_region_00057	15	19177092	21177092	19794839	20971763	1176924	1.177	small	1676924	A.1	0.5	multi-segment
m2_region_00058	15	21853997	24948571	21243087	24703424	3460337	3.46	small	3960337	A.1	0.5	multi-segment
m2_region_00059	15	25105788	28040082	24860641	27794936	2934295	2.934	small	3434295	A.1	0.5	primary
m2_region_00060	15	28716141	94064324	28470995	93521095	65050100	65.05	xlarge	50000000	A.3	24.0	primary
m2_region_00061	15	94271378	103165080	93728149	101980877	8252728	8.253	medium	8752728	A.2	1.5	multi-segment
m2_region_00062	16	0	8071254	10000	8021252	8011252	8.011	medium	8511252	A.2	1.5	multi-segment
m2_region_00063	16	8109391	22092051	8059389	22080730	14021341	14.021	medium	14521341	A.2	1.5	primary
m2_region_00064	16	22534098	25863707	22522777	25852386	3329609	3.33	small	3829609	A.1	0.5	primary
m2_region_00065	16	26423501	32930025	26412180	32918704	6506524	6.507	medium	7006524	A.2	1.5	primary
m2_region_00066	16	33436185	35516075	33633718	36050704	2416986	2.417	small	2916986	A.1	0.5	multi-segment
m2_region_00067	16	46230478	91141355	46391700	90227947	43836247	43.836	large	44336247	A.3	8.0	multi-segment
m2_region_00068	17	0	22995777	150207	22763450	22613243	22.613	medium	23113243	A.2	1.5	multi-segment
m2_region_00069	17	25206747	51173184	26936721	53095823	26159102	26.159	large	26659102	A.3	8.0	multi-segment
m2_region_00070	17	51747096	60496797	53669735	62419436	8749701	8.75	medium	9249701	A.2	1.5	primary
m2_region_00071	17	60548948	82035823	62471587	83247054	20775467	20.775	medium	21275467	A.2	1.5	multi-segment
m2_region_00072	18	0	15949581	10000	15410582	15400582	15.401	medium	15900582	A.2	1.5	multi-segment
m2_region_00073	18	18048220	25965581	20931259	28385617	7454358	7.454	medium	7954358	A.2	1.5	multi-segment
m2_region_00074	18	26398633	28398633	28818669	30818667	1999998	2.0	small	2499998	A.1	0.5	primary
m2_region_00075	18	28542707	35171514	30962741	37591551	6628810	6.629	medium	7128810	A.2	1.5	primary
m2_region_00076	18	35182440	38035751	37602477	40455787	2853310	2.853	small	3353310	A.1	0.5	primary
m2_region_00077	18	38187170	49140238	40607206	51613868	11006662	11.007	medium	11506662	A.2	1.5	primary
m2_region_00078	18	49285398	65791559	51759028	68124322	16365294	16.365	medium	16865294	A.2	1.5	primary
m2_region_00079	18	65807880	74855581	68140643	77143625	9002982	9.003	medium	9502982	A.2	1.5	primary
m2_region_00080	18	75187084	78914538	77475128	80258655	2783527	2.784	small	3283527	A.1	0.5	multi-segment
m2_region_00081	19	0	23089322	60000	22906520	22846520	22.847	medium	23346520	A.2	1.5	multi-segment
m2_region_00082	19	23423433	25455963	23240631	24448161	1207530	1.208	small	1707530	A.1	0.5	multi-segment
m2_region_00083	19	27298186	60068996	27241278	58606629	31365351	31.365	large	31865351	A.3	8.0	multi-segment
m2_region_00084	2	0	5011808	10000	4964218	4954218	4.954	small	5454218	A.1	0.5	multi-segment
m2_region_00085	2	5154465	7161710	5014332	7021579	2007247	2.007	small	2507247	A.1	0.5	primary
m2_region_00086	2	7608271	13745312	7468140	13605187	6137047	6.137	medium	6637047	A.2	1.5	primary
m2_region_00087	2	14782471	38587040	14642347	38359898	23717551	23.718	medium	24217551	A.2	1.5	primary
m2_region_00088	2	38842361	89438050	38615219	89138567	50523348	50.523	xlarge	50000000	A.3	24.0	primary
m2_region_00089	2	94700730	123016946	94661005	122259370	27598365	27.598	large	28098365	A.3	8.0	multi-segment
m2_region_00090	2	124163216	130067080	123405640	129309507	5903867	5.904	medium	6403867	A.2	1.5	primary
m2_region_00091	2	130538181	141244750	129780608	140487181	10706573	10.707	medium	11206573	A.2	1.5	primary
m2_region_00092	2	141293146	149789543	140535577	148932974	8397397	8.397	medium	8897397	A.2	1.5	multi-segment
m2_region_00093	2	150221193	186128121	149364679	185263394	35898715	35.899	large	36398715	A.3	8.0	primary
m2_region_00094	2	186207393	189728009	185342666	188863283	3520617	3.521	small	4020617	A.1	0.5	primary
m2_region_00095	2	190446691	194954458	189581965	194089734	4507769	4.508	small	5007769	A.1	0.5	primary
m2_region_00096	2	194981706	235679549	194116982	234770905	40653923	40.654	large	41153923	A.3	8.0	primary
m2_region_00097	2	235801872	243395674	234893228	242147448	7254220	7.254	medium	7754220	A.2	1.5	multi-segment
m2_region_00098	20	0	27225145	79359	26338509	26259150	26.259	large	26759150	A.3	8.0	multi-segment
m2_region_00099	20	29190720	63911019	30185044	64333666	34148622	34.149	large	34648622	A.3	8.0	multi-segment
m2_region_00100	21	15072859	20320442	13700538	18948124	5247586	5.248	medium	5747586	A.2	1.5	primary
m2_region_00101	21	21313400	25836457	19941086	24464143	4523057	4.523	small	5023057	A.1	0.5	primary
m2_region_00102	21	26513378	28874143	25141064	27501824	2360760	2.361	small	2860760	A.1	0.5	primary
m2_region_00103	21	29158151	31957507	27785832	30585188	2799356	2.799	small	3299356	A.1	0.5	primary
m2_region_00104	21	32061013	48853157	30688695	46699245	16010550	16.011	medium	16510550	A.2	1.5	multi-segment
m2_region_00105	22	16300320	52126075	15677641	50805647	35128006	35.128	large	35628006	A.3	8.0	multi-segment
m2_region_00106	3	0	2498979	18322	2457295	2438973	2.439	small	2938973	A.1	0.5	multi-segment
m2_region_00107	3	2609401	17597161	2567717	17555669	14987952	14.988	medium	15487952	A.2	1.5	primary
m2_region_00108	3	17742270	59468428	17700778	59482702	41781924	41.782	large	42281924	A.3	8.0	primary
m2_region_00109	3	59743058	75710143	59757332	75660992	15903660	15.904	medium	16403660	A.2	1.5	primary
m2_region_00110	3	75929347	91124806	75880196	90455656	14575460	14.575	medium	15075460	A.2	1.5	multi-segment
m2_region_00111	3	93036952	144052694	93786108	144333852	50547744	50.548	xlarge	50000000	A.3	24.0	multi-segment
m2_region_00112	3	144583561	166211894	144864719	166494106	21629387	21.629	medium	22129387	A.2	1.5	primary
m2_region_00113	3	166618887	198070959	166901099	198235088	31333989	31.334	large	31833989	A.3	8.0	multi-segment
m2_region_00114	4	0	33125671	10000	33124049	33114049	33.114	large	33614049	A.3	8.0	multi-segment
m2_region_00115	4	33540569	35545698	33538947	35544076	2005129	2.005	small	2505129	A.1	0.5	primary
m2_region_00116	4	35820357	42210184	35818735	42208167	6389432	6.389	medium	6889432	A.2	1.5	primary
m2_region_00117	4	42516789	50064487	42514772	49657470	7142698	7.143	medium	7642698	A.2	1.5	multi-segment
m2_region_00118	4	51685386	58952521	51794220	58086355	6292135	6.292	medium	6792135	A.2	1.5	multi-segment
m2_region_00119	4	59155189	61766922	58289023	60901204	2612181	2.612	small	3112181	A.1	0.5	primary
m2_region_00120	4	62278264	164038241	61412546	163117089	101704543	101.705	xlarge	50000000	A.3	24.0	primary
m2_region_00121	4	164305889	167929102	163384737	167007951	3623214	3.623	small	4123214	A.1	0.5	primary
m2_region_00122	4	167999955	176572263	167078804	175651112	8572308	8.572	medium	9072308	A.2	1.5	primary
m2_region_00123	4	176839972	183089409	175918821	182168256	6249435	6.249	medium	6749435	A.2	1.5	primary
m2_region_00124	4	183188404	191483248	182267251	190123093	7855842	7.856	medium	8355842	A.2	1.5	multi-segment
m2_region_00125	5	0	7692053	10000	7691940	7681940	7.682	medium	8181940	A.2	1.5	multi-segment
m2_region_00126	5	8132190	10541866	8132077	10541754	2409677	2.41	small	2909677	A.1	0.5	primary
m2_region_00127	5	12149677	15001837	12149565	15001728	2852163	2.852	small	3352163	A.1	0.5	primary
m2_region_00128	5	16276986	19131755	16276877	19131646	2854769	2.855	small	3354769	A.1	0.5	primary
m2_region_00129	5	19953652	24068712	19953543	24068603	4115060	4.115	small	4615060	A.1	0.5	primary
m2_region_00130	5	24412119	29547511	24412010	29547404	5135394	5.135	medium	5635394	A.2	1.5	primary
m2_region_00131	5	30893865	36989806	30893758	36989704	6095946	6.096	medium	6595946	A.2	1.5	primary
m2_region_00132	5	37378483	45812566	37378381	45812464	8434083	8.434	medium	8934083	A.2	1.5	primary
m2_region_00133	5	48646456	65168193	50110622	65872365	15761743	15.762	medium	16261743	A.2	1.5	multi-segment
m2_region_00134	5	65191971	69698168	65896143	70402341	4506198	4.506	small	5006198	A.1	0.5	primary
m2_region_00135	5	70017951	98666860	70722124	99331156	28609032	28.609	large	29109032	A.3	8.0	primary
m2_region_00136	5	99619084	120372533	100283380	121036838	20753458	20.753	medium	21253458	A.2	1.5	primary
m2_region_00137	5	120374825	160001299	121039130	160574292	39535162	39.535	large	40035162	A.3	8.0	primary
m2_region_00138	5	160726768	174356752	161299761	174929749	13629988	13.63	medium	14129988	A.2	1.5	primary
m2_region_00139	5	175148768	177831119	175721765	178404118	2682353	2.682	small	3182353	A.1	0.5	primary
m2_region_00140	5	178156449	181582043	178729448	181478042	2748594	2.749	small	3248594	A.1	0.5	multi-segment
m2_region_00141	6	0	2617143	60000	2616909	2556909	2.557	small	3056909	A.1	0.5	multi-segment
m2_region_00142	6	4043544	14189275	4043310	14189044	10145734	10.146	medium	10645734	A.2	1.5	primary
m2_region_00143	6	14557636	59511053	14557405	58453775	43896370	43.896	large	44396370	A.3	8.0	multi-segment
m2_region_00144	6	61955868	68624339	61281844	67914447	6632603	6.633	medium	7132603	A.2	1.5	primary
m2_region_00145	6	68911970	171590475	68202078	170745387	102543309	102.543	xlarge	50000000	A.3	24.0	multi-segment
m2_region_00146	7	0	58882950	10000	57994244	57984244	57.984	xlarge	50000000	A.3	24.0	multi-segment
m2_region_00147	7	61535226	68058023	62151190	68593036	6441846	6.442	medium	6941846	A.2	1.5	primary
m2_region_00148	7	68270649	83960004	68805662	84330688	15525026	15.525	medium	16025026	A.2	1.5	primary
m2_region_00149	7	84091003	132619847	84461687	132935087	48473400	48.473	large	48973400	A.3	8.0	primary
m2_region_00150	7	132979795	144092269	133295041	144395176	11100135	11.1	medium	11600135	A.2	1.5	primary
m2_region_00151	7	144395771	152415536	144698678	152718451	8019773	8.02	medium	8519773	A.2	1.5	primary
m2_region_00152	7	153201853	159595849	153504768	159335159	5830391	5.83	medium	6330391	A.2	1.5	multi-segment
m2_region_00153	8	365488	35519519	415488	35662001	35246513	35.247	large	35746513	A.3	8.0	primary
m2_region_00154	8	35708190	43599489	35850672	43744346	7893674	7.894	medium	8393674	A.2	1.5	primary
m2_region_00155	8	45924211	63494888	45927589	62582329	16654740	16.655	medium	17154740	A.2	1.5	multi-segment
m2_region_00156	8	63508954	78529466	62596395	77617230	15020835	15.021	medium	15520835	A.2	1.5	primary
m2_region_00157	8	79107372	109461828	78195137	108449599	30254462	30.254	large	30754462	A.3	8.0	primary
m2_region_00158	8	110140527	147198217	109128298	145077831	35949533	35.95	large	36449533	A.3	8.0	multi-segment
m2_region_00159	9	0	26281227	10000	26281229	26271229	26.271	large	26771229	A.3	8.0	multi-segment
m2_region_00160	9	26612918	39396002	26612920	39396005	12783085	12.783	medium	13283085	A.2	1.5	primary
m2_region_00161	9	70049116	141646121	65167510	138262671	73095161	73.095	xlarge	50000000	A.3	24.0	multi-segment
